number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,Ri,PFR_up_Flag,PFR_dn_Flag,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,PFR_up_Price,PFR_dn_Price,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run,Flexibility,RTPlanCommit
56,DPV25,225,0,2.477,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.477,0,2.477,0,2.477,0,2.477,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
57,DPV26,234,0,2.627,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.627,0,2.627,0,2.627,0,2.627,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
58,DPV27,235,0,19.88,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,19.88,0,19.88,0,19.88,0,19.88,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
59,DPV28,241,0,0.093,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.093,0,0.093,0,0.093,0,0.093,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
60,DPV29,325,0,0.454,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.454,0,0.454,0,0.454,0,0.454,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
61,DPV30,335,0,1.446,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.446,0,1.446,0,1.446,0,1.446,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
62,DPV31,336,0,12.941,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,12.941,0,12.941,0,12.941,0,12.941,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
63,DPV32,403,0,0.792,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.792,0,0.792,0,0.792,0,0.792,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
64,DPV33,404,0,0.655,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.655,0,0.655,0,0.655,0,0.655,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
65,DPV34,405,0,1.305,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.305,0,1.305,0,1.305,0,1.305,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
66,DPV35,415,0,3.771,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,3.771,0,3.771,0,3.771,0,3.771,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
67,DPV36,418,0,0.775,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.775,0,0.775,0,0.775,0,0.775,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
68,DPV37,425,0,1.792,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.792,0,1.792,0,1.792,0,1.792,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
69,DPV38,431,0,1.179,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.179,0,1.179,0,1.179,0,1.179,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
70,DPV39,435,0,5.873,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,5.873,0,5.873,0,5.873,0,5.873,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
